Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",76.98,87.46,12.0%,239.67,55.48,51.06,239.67,67.9%,1.02,2.59%,7.7%,1.5%,1.7,BUYING,$+3K,2,0,✅ 4/4,↑0 ↓0,$40.82B,Finance,NYSE
PCG,PG&E Corporation,16.54,19.16,13.7%,27.02,14.36,28.19,27.02,38.8%,1.15,1.22%,9.2%,0.0%,—,SELLING,$-4.4M,0,7,🟡 2/4,↑1 ↓0,$36.41B,Utilities,NYSE
FIS,"Fidelity National Information Services, Inc.",42.72,82.74,48.4%,48.20,87.29,78.40,48.20,11.4%,1.38,4.17%,17.2%,3.8%,3.0,BUYING,$+1.1M,3,0,🟡 2/4,↑0 ↓0,$22.08B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.32,17.53,6.9%,18.59,11.71,21.30,18.59,12.2%,1.30,2.95%,-2.0%,3.2%,4.0,—,—,0,0,✅ 4/4,↑0 ↓0,$19.01B,Health Technology,NASDAQ
BMRN,BioMarin Pharmaceutical Inc.,52.99,66.28,20.0%,53.19,79.81,84.25,53.19,0.4%,1.65,—,4.5%,5.6%,6.9,SELLING,$-3.2M,0,4,🔴 1/4,↑1 ↓0,$10.24B,Health Technology,NASDAQ
BAX,Baxter International Inc.,19.70,32.04,38.5%,33.35,50.27,47.68,33.35,40.9%,1.68,0.21%,-14.9%,10.7%,4.5,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$10.17B,Health Technology,NYSE
SIRI,SiriusXM Holdings Inc.,29.89,30.11,0.7%,31.46,41.06,39.87,31.46,5.0%,0.86,3.59%,7.4%,14.3%,4.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$10.06B,Consumer Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",49.66,88.24,43.7%,66.32,109.65,95.49,66.32,25.1%,0.54,5.94%,-6.4%,5.9%,2.8,BUYING,$+2.1M,5,3,🔴 2/4,↑0 ↓0,$8.65B,Finance,NYSE
MOS,Mosaic Company,23.18,38.23,39.4%,28.57,29.03,28.26,28.57,18.9%,0.62,3.89%,0.4%,7.3%,2.0,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$7.37B,Process Industries,NYSE
NOV,NOV Inc.,20.20,21.38,5.5%,27.28,15.89,25.07,27.28,25.9%,1.17,1.56%,1.4%,13.9%,5.4,—,—,0,0,🔴 0/4,↑0 ↓0,$7.25B,Industrial Services,NYSE
