Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
CNI,Canadian National Railway Company,116.84,8.2%,107.96,100.69,83.97,4.60,2.30%,21.8%,—,1.5,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$70.88B,Transportation,NYSE
WCN,"Waste Connections, Inc.",153.15,0.4%,152.49,133.69,99.67,4.82,0.91%,12.8%,0.9%,1.3,BUYING,$+5.5M,1,6,✅ 4/4,↑1 ↓0,$38.91B,Industrial Services,NYSE
WAT,Waters Corporation,345.54,6.2%,325.49,298.22,240.35,2.22,—,5.2%,3.5%,3.8,BUYING,$+451K,2,0,✅ 3/4,↑0 ↓0,$33.93B,Health Technology,NYSE
WTW,Willis Towers Watson Public Limited Company,258.45,1.5%,254.62,231.97,184.57,3.05,1.50%,20.7%,2.6%,3.2,BUYING,$+1.2M,4,1,✅ 4/4,↑0 ↓0,$24.41B,Finance,NASDAQ
UDR,"UDR, Inc.",38.26,1.9%,37.53,36.43,31.76,3.85,4.58%,14.8%,6.5%,4.4,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$12.43B,Finance,NYSE
MGM,MGM Resorts International,42.23,7.9%,39.12,35.22,31.19,4.44,—,7.1%,15.7%,4.6,BUYING,$+75.6M,2,2,🔴 2/4,↑0 ↓0,$10.80B,Consumer Services,NYSE
WTRG,"Essential Utilities, Inc.",37.56,0.0%,37.54,37.53,32.02,1.54,3.69%,8.3%,1.8%,1.9,NEUTRAL,—,0,0,✅ 3/4,—,$10.65B,Utilities,NYSE
STN,Stantec Inc,77.23,6.0%,72.83,58.61,44.62,3.63,0.93%,15.3%,—,4.5,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$8.81B,Industrial Services,NYSE
MIDD,Middleby Corporation,153.97,5.2%,146.38,139.13,127.99,3.02,—,-7.7%,6.5%,4.5,BUYING,$+15.1M,2,0,✅ 4/4,↑0 ↓0,$6.96B,Producer Manufacturing,NASDAQ
MTDR,Matador Resources Company,52.40,3.3%,50.75,38.79,32.57,1.17,2.79%,8.9%,7.5%,5.1,BUYING,$+38K,2,0,✅ 4/4,↑1 ↓0,$6.51B,Energy Minerals,NYSE
SON,Sonoco Products Company,50.33,4.4%,48.19,47.35,42.15,1.39,4.35%,20.2%,7.8%,4.2,BUYING,$+650K,2,2,🟡 1/4,↑1 ↓0,$4.98B,Process Industries,NYSE
HRI,"Herc Holdings, Inc.",138.62,1.8%,136.14,108.48,83.93,2.44,2.06%,-0.3%,8.4%,3.1,BUYING,$+427K,1,0,✅ 3/4,↑0 ↓0,$4.63B,Finance,NYSE
ATS,ATS Corporation,35.08,3.2%,34.00,28.12,21.41,2.62,—,1.1%,—,15.8,NEUTRAL,—,0,0,🟡 2/4,—,$3.44B,Producer Manufacturing,NYSE
KBH,KB Home,51.13,1.5%,50.36,44.17,33.06,0.83,2.03%,8.8%,17.1%,6.1,NEUTRAL,—,0,0,🔴 2/4,↑2 ↓0,$3.20B,Consumer Durables,NYSE
MGEE,"MGE Energy, Inc.",76.15,0.9%,75.50,71.13,60.11,2.07,2.50%,10.9%,1.8%,2.6,BUYING,$+50K,2,0,🟡 2/4,↑0 ↓0,$2.87B,Utilities,NASDAQ
WDFC,WD-40 Company,209.00,0.9%,207.12,202.84,159.41,10.47,1.99%,31.2%,6.1%,2.7,BUYING,$+105K,1,0,✅ 3/4,↑1 ↓0,$2.81B,Process Industries,NASDAQ
HTO,H2O America,58.42,4.0%,56.17,56.13,47.87,1.33,3.05%,6.5%,15.4%,7.3,BUYING,$+6.0M,2,0,🟡 2/4,↑3 ↓0,$2.44B,Utilities,NASDAQ
AGYS,"Agilysys, Inc.",79.70,1.5%,78.55,62.76,42.34,6.87,—,13.1%,4.7%,4.0,BUYING,$+78K,2,0,🔴 2/4,↑0 ↓0,$2.24B,Technology Services,NASDAQ
