Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,104.92,124.69,15.9%,108.67,117.42,108.67,68.02,3.4%,1.68,1.45%,10.5%,1.4%,3.1,BUYING,$+1.6M,2,2,✅ 4/4,↑0 ↓0,$182.19B,Consumer Services,NYSE
CMCSA,Comcast Corporation Class A,25.57,34.34,25.5%,30.05,33.97,30.05,18.91,14.9%,1.04,5.25%,21.5%,2.7%,3.0,SELLING,$-2.3M,0,3,✅ 4/4,↑0 ↓0,$91.36B,Consumer Services,NASDAQ
BDX,"Becton, Dickinson and Company",149.41,187.35,20.3%,151.82,174.34,151.82,94.97,1.6%,1.71,2.84%,5.7%,2.6%,2.4,SELLING,$-712K,0,9,✅ 4/4,↑0 ↓0,$41.17B,Health Technology,NYSE
ROP,"Roper Technologies, Inc.",324.26,576.49,43.8%,339.04,435.15,339.04,195.38,4.4%,1.76,1.14%,9.0%,4.4%,3.3,SELLING,$-2.2M,1,1,✅ 4/4,↑0 ↓0,$32.72B,Technology Services,NASDAQ
STLA,Stellantis N.V.,8.21,12.22,32.9%,9.38,11.58,9.38,,12.5%,0.34,—,—,2.6%,3.5,—,—,0,0,🟡 1/1,↑0 ↓0,$30.88B,Consumer Durables,NYSE
FISV,"Fiserv, Inc.",56.78,177.36,68.0%,91.27,115.96,91.27,52.09,37.8%,1.16,—,12.3%,—,—,BUYING,$+1.6M,2,0,✅ 3/4,↑2 ↓0,$30.28B,Commercial Services,NASDAQ
BIIB,Biogen Inc.,198.72,205.97,3.5%,263.55,233.36,263.55,170.97,24.6%,1.57,—,7.7%,3.4%,3.2,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$29.34B,Health Technology,NASDAQ
CTSH,Cognizant Technology Solutions Corporation Class A,53.20,87.03,38.9%,61.71,65.90,61.71,38.75,13.8%,1.67,2.55%,14.9%,8.7%,6.8,SELLING,$-4.6M,0,21,✅ 4/4,↑1 ↓0,$25.21B,Technology Services,NASDAQ
BCE,BCE Inc.,25.14,26.52,5.2%,27.98,30.10,27.98,19.77,10.2%,1.62,5.03%,31.7%,—,5.5,—,—,0,0,✅ 3/4,↑0 ↓0,$23.44B,Communications,NYSE
CHTR,"Charter Communications, Inc. Class A",149.09,422.29,64.7%,351.46,422.74,351.46,,57.6%,1.12,—,30.2%,39.5%,6.0,BUYING,$+3.8M,4,0,🔴 1/4,↑0 ↓0,$20.65B,Consumer Services,NASDAQ
GPN,Global Payments Inc.,75.14,90.64,17.1%,102.13,123.79,102.13,59.79,26.4%,0.86,1.36%,2.6%,5.5%,4.4,BUYING,$+94K,2,2,✅ 4/4,↑1 ↓0,$20.56B,Commercial Services,NYSE
