Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,104.03,124.69,16.6%,108.65,117.39,108.65,68.01,4.2%,1.67,1.44%,10.5%,1.5%,2.9,BUYING,$+1.6M,2,2,✅ 4/4,↑0 ↓0,$180.66B,Consumer Services,NYSE
MDT,Medtronic Plc,75.78,106.33,28.7%,75.81,85.62,75.81,52.97,0.0%,1.99,3.74%,9.4%,1.1%,1.5,SELLING,$-5.1M,0,1,✅ 4/4,↑0 ↓0,$97.30B,Health Technology,NYSE
CMCSA,Comcast Corporation Class A,25.23,34.34,26.5%,30.03,33.95,30.03,18.90,16.0%,1.02,5.23%,21.5%,2.7%,2.6,SELLING,$-2.3M,0,3,✅ 4/4,↑0 ↓0,$90.15B,Consumer Services,NASDAQ
BDX,"Becton, Dickinson and Company",144.78,187.35,22.7%,151.73,174.19,151.73,94.92,4.6%,1.65,2.85%,5.7%,3.5%,2.5,SELLING,$-712K,0,9,✅ 4/4,↑0 ↓0,$39.89B,Health Technology,NYSE
ROP,"Roper Technologies, Inc.",314.76,576.49,45.4%,338.82,434.77,338.82,195.26,7.1%,1.71,1.15%,9.0%,4.6%,3.4,SELLING,$-2.2M,1,1,✅ 4/4,↑0 ↓0,$31.77B,Technology Services,NASDAQ
STLA,Stellantis N.V.,8.15,12.22,33.3%,9.38,11.58,9.38,,13.1%,0.34,—,—,2.7%,4.5,—,—,0,0,🟡 1/1,↑0 ↓0,$30.69B,Consumer Durables,NYSE
FISV,"Fiserv, Inc.",55.47,177.36,68.7%,91.24,115.92,91.24,52.07,39.2%,1.13,—,12.3%,—,—,BUYING,$+1.6M,2,0,✅ 3/4,↑2 ↓0,$29.58B,Commercial Services,NASDAQ
BIIB,Biogen Inc.,195.93,205.97,4.9%,263.49,233.26,263.49,170.94,25.6%,1.55,—,7.7%,3.6%,3.9,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$28.93B,Health Technology,NASDAQ
CTSH,Cognizant Technology Solutions Corporation Class A,53.96,87.03,38.0%,61.72,65.91,61.72,38.76,12.6%,1.70,2.48%,14.9%,10.0%,6.7,SELLING,$-4.6M,0,21,✅ 4/4,↑1 ↓0,$25.57B,Technology Services,NASDAQ
BCE,BCE Inc.,25.11,26.52,5.3%,27.98,30.09,27.98,19.77,10.2%,1.62,4.97%,31.7%,—,6.8,—,—,0,0,✅ 3/4,↑0 ↓0,$23.42B,Communications,NYSE
CHTR,"Charter Communications, Inc. Class A",146.96,422.29,65.2%,351.43,422.69,351.43,,58.2%,1.10,—,30.2%,44.8%,5.6,BUYING,$+3.8M,4,0,🔴 1/4,↑0 ↓0,$20.35B,Consumer Services,NASDAQ
GPN,Global Payments Inc.,73.92,90.64,18.4%,102.10,123.74,102.10,59.77,27.6%,0.85,1.36%,2.6%,6.4%,4.6,BUYING,$+94K,2,2,✅ 4/4,↑1 ↓0,$20.22B,Commercial Services,NYSE
IFF,International Flavors & Fragrances Inc.,77.69,84.45,8.0%,96.35,94.92,96.35,63.54,19.4%,1.40,2.08%,6.1%,5.7%,6.0,BUYING,$+12.1M,3,1,✅ 3/4,↑0 ↓0,$19.84B,Consumer Non-Durables,NYSE
TU,TELUS Corporation,12.54,16.73,25.0%,13.27,15.07,13.27,8.77,5.5%,1.75,8.79%,6.0%,—,13.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$19.58B,Communications,NYSE
GIS,"General Mills, Inc.",33.92,55.19,38.5%,46.96,52.88,46.96,32.02,27.8%,1.94,7.25%,23.7%,11.3%,5.2,SELLING,$-1.0M,0,3,✅ 3/4,↑1 ↓0,$18.10B,Consumer Non-Durables,NYSE
AMCR,Amcor PLC,38.75,50.94,23.9%,40.47,44.20,40.47,,4.3%,1.54,6.55%,8.7%,7.3%,7.2,—,—,0,0,🟡 2/4,↑1 ↓0,$17.92B,Process Industries,NYSE
IP,International Paper Company,32.49,56.13,42.1%,33.42,35.38,33.42,24.35,2.8%,1.16,5.71%,-16.0%,15.0%,5.7,BUYING,$+4.3M,4,0,🔴 0/4,↑1 ↓0,$17.20B,Process Industries,NYSE
FLUT,Flutter Entertainment Plc,95.19,313.69,69.7%,136.90,164.06,136.90,,30.5%,1.83,—,-4.0%,8.4%,3.5,SELLING,$-1.3M,7,6,✅ 4/4,↑0 ↓0,$16.56B,Consumer Services,NYSE
ZBH,"Zimmer Biomet Holdings, Inc.",82.96,108.29,23.4%,109.50,115.61,109.50,81.51,24.2%,1.27,1.16%,6.1%,6.2%,3.5,SELLING,$-347K,0,2,✅ 4/4,↑1 ↓0,$16.05B,Health Technology,NYSE
GIB,CGI Inc. Class A,67.65,110.07,38.5%,70.36,86.37,70.36,41.38,3.9%,1.98,0.72%,16.6%,—,9.2,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$14.15B,Technology Services,NYSE
DOC,"Healthpeak Properties, Inc.",19.57,20.27,3.4%,19.63,20.21,19.63,15.31,0.3%,1.74,6.14%,2.8%,6.1%,3.5,SELLING,$-214K,0,1,🟡 2/4,↑1 ↓0,$13.83B,Finance,NYSE
CSGP,"CoStar Group, Inc.",32.67,97.43,66.5%,52.82,71.88,52.82,29.06,38.1%,1.68,—,0.3%,4.6%,2.3,BUYING,$+6.0M,5,0,✅ 4/4,↑0 ↓0,$13.34B,Technology Services,NASDAQ
APTV,Aptiv PLC,62.97,75.33,16.4%,82.59,93.46,82.59,,23.8%,1.45,—,4.0%,5.5%,2.5,SELLING,$-1.9M,2,4,✅ 3/4,↑0 ↓0,$13.32B,Producer Manufacturing,NYSE
MKC,"McCormick & Company, Incorporated",47.25,78.16,39.5%,59.13,72.34,59.13,36.45,20.1%,1.82,4.04%,26.5%,—,—,BUYING,$+106K,1,0,✅ 3/4,↑1 ↓0,$12.70B,Consumer Non-Durables,NYSE
HRL,Hormel Foods Corporation,22.90,31.86,28.1%,30.69,33.77,30.69,18.82,25.4%,1.59,5.58%,6.1%,8.5%,5.3,SELLING,$-322K,0,1,✅ 3/4,↑0 ↓0,$12.60B,Consumer Non-Durables,NYSE
QXO,"QXO, Inc.",17.21,27.61,37.7%,23.38,27.99,23.38,,26.4%,1.34,—,-6.8%,18.5%,6.0,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$12.48B,Distribution Services,NYSE
SWK,"Stanley Black & Decker, Inc.",78.92,93.37,15.5%,97.82,101.90,97.82,65.42,19.3%,1.37,4.18%,4.2%,5.5%,3.0,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$12.27B,Consumer Durables,NYSE
PSKY,Paramount Skydance Corporation Class B,10.63,20.86,49.0%,31.89,22.79,31.89,,66.7%,1.02,1.88%,-4.3%,15.1%,8.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$11.90B,Consumer Services,NASDAQ
COO,"Cooper Companies, Inc.",60.89,89.83,32.2%,70.37,84.79,70.37,42.04,13.5%,1.42,—,4.9%,3.0%,2.3,BUYING,$+1.3M,5,0,✅ 4/4,↑0 ↓0,$11.88B,Health Technology,NASDAQ
ICLR,ICON Plc,130.50,211.00,38.2%,158.06,205.54,158.06,88.67,17.4%,1.07,—,6.3%,4.3%,2.4,—,—,0,0,✅ 3/4,↑0 ↓0,$9.96B,Commercial Services,NASDAQ
BXP,BXP Inc,60.71,79.33,23.5%,75.80,71.77,75.80,56.25,19.9%,1.87,4.61%,6.1%,9.3%,6.1,SELLING,$-3.5M,0,6,✅ 3/4,↑0 ↓0,$9.68B,Finance,NYSE
BIO,"Bio-Rad Laboratories, Inc. Class A",315.14,343.12,8.2%,324.68,418.85,324.68,201.51,2.9%,1.23,—,2.5%,0.0%,—,SELLING,$-136K,0,1,🔴 2/4,↑0 ↓0,$8.43B,Health Technology,NYSE
ZG,"Zillow Group, Inc. Class A",35.95,90.22,60.2%,50.89,60.15,50.89,,29.4%,1.87,—,1.3%,15.8%,3.2,—,—,0,0,🟡 2/4,↑0 ↓0,$8.17B,Technology Services,NASDAQ
TAP,Molson Coors Beverage Company Class B,40.78,54.82,25.6%,53.10,46.52,53.10,39.51,23.2%,0.72,4.59%,-18.2%,19.7%,6.3,BUYING,$+45K,2,1,✅ 3/4,↑0 ↓0,$7.68B,Consumer Non-Durables,NYSE
LKQ,LKQ Corporation,27.26,40.85,33.3%,32.75,36.55,32.75,,16.8%,1.08,4.37%,8.3%,7.8%,4.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$6.95B,Consumer Durables,NASDAQ
LNC,Lincoln National Corp,35.08,46.82,25.1%,37.73,36.12,37.73,30.31,7.0%,0.73,5.11%,18.8%,0.0%,0.0,SELLING,$-880K,1,4,✅ 4/4,↑0 ↓0,$6.71B,Finance,NYSE
RYN,Rayonier Inc.,21.09,27.34,22.8%,21.17,23.29,21.17,15.54,0.4%,1.19,5.01%,12.9%,3.8%,4.8,SELLING,$-3.7M,0,2,✅ 4/4,↑0 ↓0,$6.38B,Finance,NYSE
CE,Celanese Corporation,53.38,70.70,24.5%,87.58,101.95,87.58,,39.0%,1.44,0.23%,-23.3%,8.9%,2.8,BUYING,$+363K,2,0,🔴 2/4,↑0 ↓0,$5.85B,Process Industries,NYSE
OTEX,Open Text Corporation,23.04,39.90,42.3%,29.41,33.28,29.41,17.87,21.7%,1.40,4.78%,12.4%,5.4%,5.6,—,—,0,0,✅ 4/4,↑0 ↓0,$5.59B,Technology Services,NASDAQ
EPAM,"EPAM Systems, Inc.",101.31,222.53,54.5%,196.45,273.86,196.45,,48.4%,1.56,—,10.9%,25.1%,5.5,SELLING,$-1.0M,0,1,✅ 4/4,↑0 ↓0,$5.29B,Technology Services,NYSE
DLB,"Dolby Laboratories, Inc. Class A",54.88,77.00,28.7%,60.33,71.65,60.33,,9.0%,1.98,2.59%,9.4%,10.2%,5.9,SELLING,$-8.8M,0,13,✅ 4/4,↑0 ↓0,$5.19B,Technology Services,NYSE
ALK,"Alaska Air Group, Inc.",46.47,65.88,29.5%,54.82,49.13,54.82,32.46,15.2%,1.39,—,1.9%,12.6%,3.1,SELLING,$-3.2M,0,5,🔴 2/4,↑1 ↓0,$5.18B,Transportation,NYSE
FBIN,"Fortune Brands Innovations, Inc.",39.20,64.84,39.5%,51.17,59.10,51.17,,23.4%,1.99,2.64%,11.7%,10.3%,3.9,BUYING,$+15.7M,2,0,🔴 1/4,↑0 ↓0,$4.68B,Producer Manufacturing,NYSE
AQN,Algonquin Power & Utilities Corp.,5.95,7.11,16.3%,7.08,8.16,7.08,,16.0%,1.05,4.38%,4.3%,—,3.1,NEUTRAL,—,0,0,✅ 3/4,↑2 ↓0,$4.57B,Utilities,NYSE
PVH,PVH Corp.,96.17,100.15,4.0%,96.22,85.23,96.22,71.44,0.0%,0.92,0.16%,0.5%,12.3%,3.8,SELLING,$-642K,0,1,✅ 4/4,↑0 ↓0,$4.43B,Consumer Non-Durables,NYSE
LBTYA,Liberty Global Ltd. Class A,12.28,13.52,9.2%,14.07,11.53,14.07,,12.7%,0.44,—,-49.3%,6.5%,4.7,SELLING,$-2.0M,0,2,🔴 2/4,↑0 ↓0,$4.13B,Communications,NASDAQ
LBTYK,Liberty Global Ltd. Class C,11.93,13.12,9.1%,14.00,11.74,14.00,,14.8%,0.42,—,-49.3%,5.9%,5.5,SELLING,$-1.1M,0,4,—,—,$4.12B,Communications,NASDAQ
KRC,Kilroy Realty Corporation,34.84,45.03,22.6%,42.33,40.39,42.33,31.53,17.7%,0.77,6.18%,4.1%,13.0%,6.0,SELLING,$-1.1M,0,3,✅ 3/4,↑0 ↓0,$4.09B,Finance,NYSE
LBTYB,Liberty Global Ltd. Class B,14.23,29.01,50.9%,26.23,19.99,26.23,,45.8%,0.51,—,-49.3%,0.1%,0.2,—,—,0,0,—,—,$4.07B,Communications,NASDAQ
HHH,Howard Hughes Holdings Inc.,64.18,91.07,29.5%,95.22,79.06,95.22,,32.6%,1.01,—,3.7%,9.2%,6.1,BUYING,$+270K,2,2,🔴 2/4,—,$3.83B,Finance,NYSE
